NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT06153667,Bearing nsPVA Embolization for Uterine Artery Embolization (BETTER-UAE),['Uterine Fibroid'],"Inclusion Criteria:

* Adult women ≥ 18 years old at the time of enrollment.
* Subject has symptomatic uterine fibroid(s), suitable to embolization.
* Subject provides written informed consent.

Exclusion Criteria:

* Subject is pregnant.
* Subject has suspected pelvic inflammatory disease or any other pelvic infection.
* Subject has any malignancy of the pelvic region, (e.g., endometrial neoplasia).",['Australia'],OBSERVATIONAL,RECRUITING,False
NCT06325501,Misoprostol Versus Oxytocin Infusion On Reducing Blood Loss During Abdominal Myomectomy,['Myoma;Uterus'],"Inclusión Criteria:

patients aged between 20 to 48 years old. BMI less than 35 kg/m2 symptomatic uterine myomas. Intramyometrial myoma staging from (3 to 6) according to FIGO staging through trans vaginal ultrasonography (TVUSG) or magnetic resonance imaging (MRI) according to FIGO classification.

maximum diameter of the largest myoma is 15 cm. Uterine size between 14 to 28 weeks of pregnancy.

Exclusion Criteria:

1. History of previous myomectomy
2. Allergy to Misoprostol, carbetocin, TXA, ethamsylate, Oxytocin, vasopressin, bupivacaine and epinephrine.
3. Hypertension.
4. Cardiac and Pulmonary diseases.
5. Patients who have bleeding disorders.
6. Patients on antiplatelets or anticoagulant before surgery.
7. Anemia (Hb \< 10g %).
8. Chronic endocrine or metabolic diseases such as Diabetes.
9. Renal and hepatic impairment.
10. Moderate and morbid Obesity (body mass index \> 35 kg/m2).
11. Cases that will require intraoperative conversion of myomectomy to hysterectomy.
12. Intracavitary, submucosal, pedunculated Subserosal and adnexal Myoma FIGO staging 0,1,2,7,8.
13. history of Gynecological infections (PID), history of abdominal infections e.g.: peritonitis, history of any abdominal or pelvic operation for non-obstetric cause.

    -",['Egypt'],INTERVENTIONAL,RECRUITING,False
NCT02914704,Treatment of Benign Uterine Disorders Using High Intensity Focused Ultrasound (MR-HIFU),"['Uterine Fibroids', 'Adenomyosis']","Inclusion Criteria:

* BMI \< 35
* Premenopausal
* Uterine size \<20 gw
* Willingness to participate to the research
* Uterine fibroids with typical symptoms
* Maximum of 4 treated fibroids
* Dominant fibroid \>2.5cm
* \>50% of the fibroid is treatable

Exclusion criteria

* Unspecified pelvic tumours or ovarian masses, PID
* Major corrective surgery to uterus (simple myomectomy excluded)
* Major uterine anomalies
* Unability to calculate the volume of uterine fibroids
* Marked uterine calcification
* Marked scarring of the lower abdomen
* Suspicion of malignancy
* Marked general health problem contraindicating MRI
* Claustrophobia",['Finland'],INTERVENTIONAL,RECRUITING,False
NCT04655144,Dexamethasone for Post Uterine Artery Embolization Pain,['Leiomyoma'],"Inclusion Criteria:

* Women who meet criteria to undergo uterine fibroid embolization for symptomatic fibroids.

Exclusion Criteria:

* Currently pregnant or actively attempting to conceive
* Those deemed mentally impaired to make their own medical decisions
* Previous documented allergy to dexamethasone
* Those currently taking daily steroids for any reason
* Those with diabetes or deemed to be pre-diabetic
* Those with contraindications for angiography
* Prisoners","['Florida, United States']",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT05862272,A Phase 3B Study to Evaluate Bone Mineral Density with Long-Term Use of Relugolix Combination Tablet in Women with Uterine Fibroids or Endometriosis,"['Uterine Fibroids', 'Endometriosis']","Key Inclusion Criteria:

* Is a premenopausal woman, 18 to 50 years of age (inclusive);
* A diagnosis of uterine fibroids confirmed by imaging or review of medical records and reports heavy menstrual bleeding negatively affecting quality of life. or
* A diagnosis of endometriosis that is associated with moderate to severe pain.;
* If at risk of pregnancy is willing to avoid pregnancy for 4 years (the duration of the treatment period) using nonhormonal methods of contraception.
* Has a negative serum pregnancy test at the screening visit and a negative urine pregnancy test at the allocation visit (or Month 12 if entering from MVT-601-050 \[NCT04756037; SERENE\]);
* In good physical and mental health based on medical, surgical, and gynecological history as well as physical, gynecological, and breast examinations, clinical laboratory test results, and vital sign measurements;
* Has a body mass index ≥ 18 kg/m\^2.

Key Exclusion Criteria:

* Has a weight or body habitus that exceeds the limit of the DXA scanner or has a condition that precludes an adequate DXA measurement at the lumbar spine or proximal femur
* Has a DXA result demonstrating the following criteria at any anatomic site (lumbar spine, total hip, femoral neck):

  1. For patients entering de novo a Z-score ≤ -1.5 or T-score ≤ -2.0 (if ≥ 40 years of age)
  2. For patients entering from MVT-601-050 (NCT04756037; SERENE) a 12-month on-treatment DXA demonstrating Z-score ≤ -2.0, T-score ≤ -2.5 (if ≥ 40 years of age), or BMD loss ≥ 8% compared with pre-treatment baseline;
* Screening 25-OH vitamin D level \< 12 ng/mL (patients with 25-OH vitamin D deficiency with levels ≥ 12 to \< 20 ng/mL are permitted if supplementing with vitamin D or if vitamin D supplementation is started in the screening period);
* Has a history of or currently has Cushing's Syndrome, Rheumatoid Arthritis, metabolic bone disease, uncorrected hyperparathyroidism, Paget's disease of the bone, collagen vascular disease, Marfan's syndrome, Ehlers-Danlos syndrome (if confirmed on genetic testing or meets definitive criteria for hypermobility type), chronic kidney disease (CKD) stage 3 or greater with glomerular filtration rate (GFR) \< 60 mL/min/m2 using Modification of Diet in Renal Disease (MDRD) method, hyperprolactinemia, known pituitary adenoma, hyperthyroidism, anorexia nervosa, bulimia (within the last year), abnormal bone mineral metabolism (eg, hypophosphatemia). Patients whose hyperparathyroidism or hyperthyroidism has been successfully treated or whose hyperprolactinemia has been successfully treated are allowed;
* History of low trauma (fragility) fracture.
* Past history of use or current use of medication used to treat bone loss other than calcium and vitamin D preparations;
* Prior use of depot-medroxyprogesterone acetate for a treatment period \> 2 years (if treatment occurred within the past 5 years) or prior use of GnRH agonist or antagonist for \> 12 months total (unless directly entering from MVT-601-050 \[NCT04756037; SERENE\]);
* Malabsorptive disease (including, but not limited to, inflammatory bowel disease and gastric bypass surgery);
* Current breast cancer, history of breast cancer or other hormone-sensitive malignancy, at increased risk for hormone-sensitive malignancy, or taking an aromatase inhibitor for breast cancer treatment or prevention
* History of organ transplantation or history of bone marrow
* BIRADS ≥ 3 Mammogram at entry (or within the past 6 months).
* Has a known human immunodeficiency virus (HIV) infection or at high risk of contracting HIV
* Has a current psychiatric disorder that would, in the investigator or medical monitor's opinion, impair the ability of the patient to participate in the study or would impair interpretation of their data.
* Is currently using a hormonal intrauterine device or contraceptive implant, hormonal contraceptive, or other prohibited medication and is unwilling to discontinue this hormonal contraception","['Alabama, United States', 'Arizona, United States', 'Arizona, United States', 'Arizona, United States', 'Arizona, United States', 'California, United States', 'California, United States', 'California, United States', 'California, United States', 'California, United States', 'California, United States', 'California, United States', 'Colorado, United States', 'Colorado, United States', 'District of Columbia, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Florida, United States', 'Georgia, United States', 'Georgia, United States', 'Georgia, United States', 'Georgia, United States', 'Georgia, United States', 'Georgia, United States', 'Idaho, United States', 'Idaho, United States', 'Illinois, United States', 'Kansas, United States', 'Kansas, United States', 'Louisiana, United States', 'Louisiana, United States', 'Louisiana, United States', 'Louisiana, United States', 'Maryland, United States', 'Michigan, United States', 'Michigan, United States', 'Mississippi, United States', 'Missouri, United States', 'Nebraska, United States', 'Nebraska, United States', 'Nevada, United States', 'Nevada, United States', 'New Jersey, United States', 'North Carolina, United States', 'North Carolina, United States', 'North Carolina, United States', 'North Carolina, United States', 'North Carolina, United States', 'Ohio, United States', 'Ohio, United States', 'Ohio, United States', 'Ohio, United States', 'Ohio, United States', 'Ohio, United States', 'Pennsylvania, United States', 'Pennsylvania, United States', 'Pennsylvania, United States', 'South Carolina, United States', 'Tennessee, United States', 'Tennessee, United States', 'Tennessee, United States', 'Tennessee, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Texas, United States', 'Utah, United States', 'Utah, United States', 'Virginia, United States', 'Virginia, United States', 'Virginia, United States', 'Washington, United States']",INTERVENTIONAL,RECRUITING,False
NCT05409872,"Effects of Vitamin D, Epigallocatechin Gallate, Vitamin B6, and D-Chiro-inositol Combination on Uterine Fibroids","['Leiomyoma, Uterine']","Inclusion Criteria:

* Women with multiple fibroids or single fibroma with a diameter ≥ 4 cm who are candidates for hysterectomy.
* Women with multiple fibroids or single fibroma with a diameter ≥ 4 cm who are candidates for myomectomy / uterine arterial embolization.
* Women with multiple fibroids or single fibroma with a diameter ≥ 4 cm who are candidates for treatment with magnetic resonance (MR)-guided Focused Ultra-Sound (MrgFUS).

Exclusion Criteria:

* Pregnancy.
* Breastfeeding.
* Smoking.
* Suspected malignancy.
* Patients who have undergone medical treatment for uterine fibroids within the previous three months.
* Patients allergic to the components of the product or placebo under study.
* Patients who refuse to provide informed consent to participate in the study.",['Italy'],INTERVENTIONAL,RECRUITING,False
NCT05739123,Relugolix Pregnancy Registry: An Observational Study of the Safety of Relugolix-Containing Therapy Exposure in Pregnant Women and Their Offspring,"['Pregnancy Related', 'Pregnancy Complications', 'Pregnancy, High Risk']","Inclusion Criteria:

* Woman of any age
* Currently or recently pregnant
* Consent to participate
* Authorization for her HCP(s) to provide data to the registry

Cohort 1

* Exposure to at least one dose of relugolix-containing therapy at any time during pregnancy

Cohort 2

* Diagnosis of a condition for which relugolix-containing therapy may be prescribed and who are not exposed to relugolix containing therapy at any time during pregnancy

Exclusion Criteria:

The following will be eligible for enrollment, included in supplementary analyses, but excluded from the analysis population:

* Occurrence of pregnancy outcome prior to first contact with the registry coordination center (retrospectively enrolled)
* Exposure to known teratogens and/or investigational medications during pregnancy
* Lost to follow-up","['North Carolina, United States']",OBSERVATIONAL,RECRUITING,False
NCT06805019,Construction of a Model for the Differential Diagnosis of SArcoma/myoma Based on the RAdiomics Features: Single-center Observational Study,"['Uterine Sarcoma', 'Uterine Myoma']","Inclusion Criteria:

* Histological diagnosis of uterine sarcoma or myoma
* Patients with pre-operative CT performed for diagnostic suspicion no more than 30 days before surgery
* Age between 18 and 80 years
* Patients followed in the clinical care path in our center
* Obtaining informed consent

Exclusion Criteria:

* Low quality of CT images.
* Patients affected by other active neoplasms or diagnosed less than 5 years before the diagnosis of uterine sarcoma or myoma.",['Italy'],OBSERVATIONAL,RECRUITING,False
NCT06768086,"Preoperative Administration of EGCG, Vitamin D and DCI Prior Hysteroscopic Myomectomy","['Uterine Fibroids', 'Hysteroscopic Myomectomy', 'Treatment Compliance', 'Patient Compliance', 'Treatment Complication']","Inclusion Criteria:

Clinical diagnosis of FIGO type 0 to 2 fibroids, with a diameter of 20 - 35 mm. Must be able to swallow tablets.

Exclusion Criteria:

Clinical diagnosis of polyps associated to FIGO type 0 to 2 fibroids. Non-hysteroscopic surgical procedures. The presence of more than 2 FIGO type 0 to 2 fibroids.","['Lecce, Italy']",OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT06536517,The Effects of One-time Intraoperative Methadone During Laparoscopic Hysterectomy in Reducing Opioid Prescription.,['Fibroid Uterus'],"Inclusion Criteria:

* Individuals with a uterus
* Age 18 years old and above
* Undergoing minimally invasive (laparoscopic or robotic) hysterectomy with ovarian preservation
* Benign indications for hysterectomy
* Agreeing to participate

Exclusion Criteria:

* Chronic pain syndromes patients including fibromyalgia
* Patients currently on long-term (i.e. for more than three months) opioid use
* Patients currently on agonist-antagonist medications (e.g. buprenorphine)
* Patients taking a selective serotonin reuptake inhibitor or monoamine oxidase inhibitor
* Conversion to laparotomy
* Allergy or other contraindication to the prescribed medications such as methadone, fentanyl, acetaminophen or oxycodone
* Severe Obstructive Sleep Apnea (OSA)
* Pregnant/breastfeeding patients","['Maryland, United States', 'Maryland, United States']",INTERVENTIONAL,RECRUITING,False
NCT01514617,Diffusion -and Perfusion Weighted MRI for Response Prediction of Symptomatic Leiomyomas Following Uterine Artery Embolization,['Leiomyomas'],"Inclusion Criteria:

* women with symptomatic leiomyomas

Exclusion Criteria:

* women with known contra-indications for MRI (cardiac pacemaker, cochlear implants, claustrophobic patients)
* women with contra-indications to gadolinium-based contrast agents (including patients with a known restricted renal function; GFR \< 30 mL/min)",['Belgium'],INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT06671548,Efficacy & Safety Study of Relugolix in Women With Heavy Menstrual Bleeding Associated With Uterine Fibroids,"['Heavy Menstrual Bleeding', 'Uterine Fibroids']","Inclusion Criteria:

* Premenopausal female aged 18 to 50 years old (inclusive)
* Diagnosis of uterine fibroids confirmed by transvaginal ultrasound during the screening period
* Heavy menstrual bleeding caused by uterine fibroids
* Breast ultrasound results during the screening period meet the BI-RADS classification of 1 to 3
* Able to understand and comply with the study procedures and methods, voluntarily participate in this trial, and sign the informed consent form in writing

Exclusion Criteria:

* History of bilateral oophorectomy, or planned to undergo hysterectomy, bilateral oophorectomy, or other surgical procedures during the study period.
* Previous treatment with gonadotropin-releasing hormone (GnRH) agonists or GnRH antagonists for uterine fibroids has failed.
* History of or current osteoporosis or other metabolic bone disease.
* History of malignant tumor within 5 years prior to screening, except for cured skin cancer, basal cell carcinoma, and other localized malignant tumors.
* History of drug abuse, alcohol abuse, or drug dependence within 2 years prior to screening.
* Presence of an in situ copper intrauterine device (IUD) or a progestin-containing IUD implant/subdermal contraceptive implant during the screening period; subjects who can remove the IUD/subdermal contraceptive implant at least 1 month before enrollment may be allowed to participate.
* Baseline bone mineral density Z-score of \< -2.0 at the lumbar spine, total hip, or femoral neck during the screening period.
* Any other factors that the investigator deems unsuitable for participation in this trial.",['China'],INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT04028986,Esmya Versus Surgery Before IVF/ICSI,"['Fibroid; Uterus Tumor, Complicating Pregnancy', 'Infertility, Female', 'Surgical Procedure, Unspecified']","Inclusion Criteria:

* 1st, 2nd or 3th IVF/ICSI attempt
* infertility Indications:

  * unexplained
  * tubal
  * male/donor sperm
  * endometriosis I/II
* Body Mass Index (BMI) \>18 - \< 30
* Basal Follicle Stimulating Hormone (FSH) \< 10 IU/L
* anti-mullerian hormone (AMH) \> 1 ng/ml
* Normal ultrasound apart from the following:

  * Type 2 fibroid : ≤2cm diameter
  * Type 3 - 5 fibroids: with diameter ≥ 3 and ≤10cm according to classification of European Society for Gynecological Endoscopy (ESGE )

Exclusion Criteria:

* More than 2 submucous fibroids
* Poor responders
* Severe male factor","['Brussels, Belgium']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06055114,Study on Vaginal Microecology and Cervical Local Immune Function in Patients With Uterine Fibroids of Childbearing Age,['Uterine Fibroids'],"Inclusion Criteria:

Study group inclusion criteria:

* Age 20-49 years old
* Premenopausal
* Clinical diagnosis of uterine myoma
* Cervical liquid-based cytology and human papillomavirus typing test are negative

Healthy control group:

* Age 20-49 years old
* Premenopausal
* Uterine B-ultrasonography is normal
* Cervical liquid-based cytology and human papillomavirus typing test are negative
* No vaginal infection

Exclusion Criteria:

Exclusion criteria of the study group:

* Used antibiotics, hormones, immunosuppressants and regulators within 1 month
* Sex, vaginal irrigation or applied medicine 3 days before the vaginal discharge sampling
* Pregnant, lactating or menstruating women
* Uterus and uterine adnexa have other lesions

Exclusion criteria of healthy control group:

* Used antibiotics, hormones, immunosuppressants and regulators within 1 month
* Sex, vaginal irrigation or applied medicine 3 days before the vaginal discharge sampling
* Pregnant, lactating or menstruating women",,OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT00005095,Specimen and Data Study for Ovarian Cancer Early Detection and Prevention,"['Cervical Cancer', 'Endometrial Cancer', 'Fallopian Tube Cancer', 'Hereditary Breast/Ovarian Cancer (brca1, brca2)', 'Ovarian Cancer', 'Sarcoma', 'Uterine Leiomyomata', 'Vaginal Cancer', 'Vulvar Cancer']","DISEASE CHARACTERISTICS:

* Meets one of the following criteria:

  * Considered to be at increased risk for developing ovarian cancer, as defined by one of the following:

    * Has at least one first-degree relative (mother, sister, or daughter) with ovarian, primary peritoneal, or fallopian tube cancer
    * Has at least two first or second degree relatives diagnosed before age 50 with either ovarian, primary peritoneal, fallopian tube, and/or pancreatic cancer who have tested positive for hereditary cancer syndrome that includes an increased risk of gynecologic cancer (e.g., BRCA1/2 or Lynch Syndrome)or have increased risk as deemed by a certified genetic counselor
    * A personal or family history of a hereditary cancer syndrome that includes an increased risk of gynecologic cancer
    * Increased risk as deemed by a certified genetic counselor
  * Undergoing surgery for a gynecologic condition, including any of the following:

    * Diagnosis of a reproductive cancer
    * Benign gynecological condition (e.g., uterine leiomyomata, endometriosis, pelvic inflammatory disease, or follicular or corpus luteum ovarian cysts)
    * Highly suspicious adnexal mass
    * Risk-reducing prophylactic oophorectomy

PATIENT CHARACTERISTICS:

Age

* Between the ages of 18 and 80","['Illinois, United States']",OBSERVATIONAL,RECRUITING,False
NCT05930769,Retrospective Study on the Evaluation of the Impact of Augmented Reality Usage in Gynecological Laparoscopy on Patients Operated Between 2017 and 2021 (ImpactRA),"['Myoma;Uterus', 'Adenomyoma of Uterus']","Inclusion Criteria:

* Age between 18 (included) and 84 (Included),
* Patient operated between 2017\* et 2021,
* Patient with one or more intrauterine myomas, with surgical treatment by laparoscopic myomectomy with or without AR,
* Patient with one or more intrauterine adenomyomas, with surgical treatment by laparoscopic adenomyomectomy with or without AR,
* Patient informed about the use of her data for research.

Exclusion Criteria:

* Patient who refused the use of medical data for research purposes,
* Patient operated prior to 2017\* and after 2021,
* Patient whose medical follow-up did not allow collection of the data required for the study.

(\*) An amendment validated by the ethics committee allows inclusion of patients operated during 2016",['France'],OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06768879,Sonographic Evaluation Of Uterine Fibroids At Different Locations In Patient With Irregular Menstrul Cycle,['Menstrual Irregularity'],"Inclusion Criteria:

* Patient with Pelvic pain
* Patient with Abdominal pain
* Patient with heavy bleeding
* Patient with Dysmenorrhea
* Polymenorrhea

Exclusion Criteria:

* Patient with H/O Cystectomy
* Patient with H/O cyst","['Punjab, Pakistan']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT05364008,FRIEND: Fibroids and Unexplained Infertility Treatment with Epigallocatechin Gallate; a Natural CompounD in Green Tea,"['Leiomyoma, Uterine']","Inclusion Criteria:

1. Intramural fibroids and/or subserosal fibroids that meet the criteria for FIGO types 2-6; at least one fibroid with an average diameter of at least 1 cm in three dimensions. Participants with multiple fibroids including FIGO type 0 and type 1 will be allowed only in combination with additional fibroids type 2-6.
2. Women ≥18 to ≤40 years of age, with six months or more infertility history, desirous of conceiving, regularly ovulating (defined as 9 or more menses per year), at initiation of participation. Women \< 35 years of age must have at least 12 months of infertility history.
3. Baseline AMH ≥ 0.7 ng/ml.
4. At least one open fallopian tube confirmed by hysterosalpingography (HSG), sonohysterography, or laparoscopy/hysteroscopy in the last three years preceding enrollment into the study. An uncomplicated intrauterine non-IVF pregnancy and uncomplicated delivery and postpartum course resulting in live birth within the last three years will also serve as sufficient evidence of a patent tube and normal uterine cavity as long as the participant did not have, during the pregnancy or subsequently, risk factors for Asherman's syndrome or tubal disease or other disorder leading to an increased suspicion for intrauterine abnormality or tubal occlusion.
5. Evidence of ovarian function/reserve as assessed by day 3 (+/-2 days) FSH ≤12 IU/L within one year prior to study initiation.
6. In general, good health as assessed by PI, not taking any medications which could interfere with the study.
7. Ability to have inseminations following hCG administration.
8. If applicable, the study participant will inform their partner of trial participation.
9. Male partner with total motile sperm in the ejaculate of at least 5 million sperm/ml, within one year of study initiation.
10. Participant agreement to abstain from use of green tea products in any form during course of study participation in trial.

Exclusion Criteria:

1. Participants with only intracavity uterine fibroid (FIGO Type 0 or Type 1) when not in combination with other types of fibroids (FIGO type 2-6).
2. Currently pregnant.
3. Clinical intrauterine miscarriages prior to initiating participation: participants must wait 3 months. No exclusion for biochemical pregnancies.
4. Subjects using Green Tea/EGCG within 2 weeks prior to study enrollment. Matcha (Japanese green tea), maca powder, green tea beverages and all other forms of green tea require a 2-week wash-out.
5. Undiagnosed abnormal uterine bleeding.
6. Suspicious ovarian mass.
7. Participants on depo-progestins, or hormonal implants (including Implanon). A two-month washout period will be required prior to screening for participants on these agents. Longer washouts may be necessary for certain depot contraceptive forms or implants, especially when the implants are still in place.
8. Known 21-hydroxylase deficiency or other enzyme defects causing congenital adrenal hyperplasia.
9. Uncontrolled diabetes with HbA1c \> 6.5%
10. Known significant anemia (Hemoglobin \<8 g/dL).
11. History of deep venous thrombosis, pulmonary embolus, or cerebrovascular event.
12. Known heart disease (New York Heart Association Class II or higher).
13. Known Liver disease (defined as AST or ALT\>2 times normal, or total bilirubin \>2.5 mg/dL).
14. Known Renal disease (defined as BUN \>30 mg/dL or serum creatinine \> 1.4 mg/dL).
15. History of, or suspected cervical carcinoma, endometrial carcinoma or breast carcinoma.
16. History of alcohol abuse (defined as \>14 drinks/week) or binge drinking of ≥ 6 drinks at one time).
17. Known Cushing's disease.
18. Known or suspected adrenal or ovarian androgen secreting tumors.
19. Allergy or contraindication to the treatment medications: EGCG, clomiphene citrate (CC) or hCG.
20. Couples with previous sterilization procedures (e.g., vasectomy, tubal ligation) which have been reversed.
21. Participants with untreated poorly controlled hypertension defined as a systolic blood pressure ≥ 160 mm Hg or a diastolic ≥ 100 mm Hg obtained on two measures obtained at least 60 minutes apart.
22. Participants who have undergone a bariatric surgery procedure in the recent past (\< 12 months) and are in a period of acute weight loss or have been advised against pregnancy by their bariatric surgeon.
23. Stage 3 and 4 endometriosis and endometriomas \> 3cm (as per PI discretion) .
24. Known polycystic ovarian syndrome as evidenced by anovulation or oligoovulation hirsutism and/or elevated testosterone levels, and ovarian morphology on ultrasound examination.
25. Medical conditions that are contraindications to pregnancy.","['Connecticut, United States', 'Illinois, United States', 'Illinois, United States', 'Maryland, United States']",INTERVENTIONAL,RECRUITING,False
NCT06640738,Investigating the Optimal Remifentanil and Dexmedetomidine Concentration for Uterine Fibroid Ablation,['Uterine Fibroids (UF)'],"Inclusion Criteria:

* Aged between 20 and 65 years old
* American Society of Anesthesiology classification I\~III
* Female patients diagnosed with uterine fibroids by obstetricians and gynecologists

Exclusion Criteria:

1. Patients with heart disease (such as arrhythmia or severe ventricular dysfunction)
2. Patients with chronic kidney disease in stage III or above or dialysis patients
3. Long-term alcohol addiction or drug abuse
4. Patients with abnormal liver index or chronic hepatitis
5. Those who are allergic Remifentanil
6. Those who refuse to participate in the experiment",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT05739136,MYFEMBREE®: A Retrospective Cohort Study Using an Administrative Healthcare Database to Assess Pregnancy Outcomes in Women Treated With Relugolix Combination Therapy,"['Pregnancy Related', 'Pregnancy Complications', 'Pregnancy, High Risk']","Inclusion Criteria:

* Woman ≥ 18 and ≤ 50 years of age at time of conception
* Diagnosis of a condition for which relugolix combination therapy is prescribed (diagnosis captured at any time prior to the estimated date of conception)

Cohort 1

* Exposure to relugolix combination therapy at any time during pregnancy

Cohort 2

* No exposure to relugolix combination therapy at any time after the estimated date of conception (during pregnancy)

Exclusion Criteria:

* Exposure to known teratogens during pregnancy
* \< 6 months of continuous healthcare coverage immediately prior to date of conception",,OBSERVATIONAL,NOT_YET_RECRUITING,False
NCT05500118,Establishment of a Decision Aid Tool for Asymptomatic Small Leiomyoma and Analysis of Influencing Factors for Clinical Decision-making Using HIFU,"['Leiomyoma, Uterine', 'High-Intensity Focused Ultrasound Ablation', 'Patients Decision Aids']","Inclusion Criteria:

1. Diagnosis of leiomyoma: patients with leiomyoma diagnosed by imaging examinations (ultrasound and MRI) have no clinical symptoms;
2. Female with age in 18-55 years old;
3. The maximum diameter of a single leiomyoma is less than 5m, and the number does not exceed 10 by MRI;
4. No contraindications for sedation and analgesia;
5. Patients and their families agree to join this study, and can follow up on time.

Exclusion Criteria:

1. History of myomectomy, including transabdominal, laparoscopic, hysteroscopy, etc.;
2. History of connective tissue diseases or radiotherapy, especially abdominal radiotherapy;
3. With pregnancy, acute inflammation of the reproductive tract, or other gynecological benign and malignant diseases such as endometriosis and ovarian tumors;
4. The maximum diameter of leiomyoma is greater than or equal to 5cm;
5. Suspected malignant tumor, such as sarcoma;
6. Those with language communication barriers and unable to cooperate with sedative and analgesic programs;
7. Abdominal scarring, when diagnosed by ultrasound transabdominal scan, has obvious sound attenuation (more than 10mm range).","['Guangdong, China']",OBSERVATIONAL,RECRUITING,False
NCT04856306,Myomectomy vs Uterine Artery Embolization vs GnRh Antagonist for AUB-L,"['Heavy Menstrual Bleeding', 'Fibroid Uterus']","Inclusion Criteria:

Patients with heavy menstrual bleeding and uterine fibroids documented on imaging who are seeking treatment, and after completing standard counseling, chose either ORIAHNN, UAE, or myomectomy. If the patient has used hormonal treatments for fibroids in the past, a wash-out period of at least 3 months duration must be performed prior to study participation. If the patient has had a myomectomy of any type in the past, a period of at least 6 months must have passed since the surgery prior to study participation.

Exclusion Criteria:

pregnancy, presence of persistent (defined as present on 2 or more consecutive ultrasounds) or complex ovarian cyst, active cancer, history of osteoporosis, current pelvic inflammatory disease, history of liver or renal failure, presence of coagulopathy that is unable to be corrected, or untreated thyroid disease, and having previously been treated with UAE, GnRH antagonist, or myomectomy within the past 6 months.","['District of Columbia, United States']",OBSERVATIONAL,ACTIVE_NOT_RECRUITING,False
NCT06828419,A Clinical Study on the Feasibility and Safety of Abdominal Endoscopic Single-port Surgery System to Assist Gynecological Day Surgery,"['Adenopathy', 'Uterine Fibroids', 'Ovarian Cysts', 'Adnexal Mass', 'Ovarian Diseases', 'Adnexal Cyst', 'Adnexal Diseases']","Inclusion Criteria:

1. Women aged 18 to 75 years old, with a body mass index (BMI) of no more than 32 kg/m2;
2. Conscious, no history of mental illness, accompanied by an adult during the perioperative period;
3. Educate the subjects, who are willing to undergo day surgery, understand and accept the surgical method and anesthesia method;
4. Subjects and families understand perioperative care and are willing and able to complete post-discharge care;
5. Elective surgery, no serious complications affecting the operation and prognosis, aCCI age adjusted comorbidity index 0 points;
6. According to the adhesion risk scoring system of European Anti-Adhesions in Gynaecology Expert Panel (ANGEL), the adhesion risk was divided into three levels: high, medium and low. Subjects with low risk (0 to 12 points) and abdominal wall scarring and pelvic cavity B-ultrasonography do not indicate obvious pelvic cavity adhesion wiil be included.

Exclusion Criteria:

1. Moderate and high-risk patients will be excluded based on ANGEL adhesion risk scoring system;
2. Subjects with hemorrhagic rupture of ectopic pregnancy and unstable vital signs;
3. Genital tract infection or in the acute phase of systemic infection;
4. Subjects on long-term anticoagulant therapy or with coagulation dysfunction;
5. Subjects have severe heart and lung disease, liver and kidney dysfunction, and cannot tolerate anesthesia;
6. A history of abdominal or diaphragmatic hernia, abnormal umbilical cord development, or umbilical surgery;
7. Not willing to undergo endoscopic surgery;
8. Participated in other drug and device clinical trials within 3 months before surgery.","['Zhejiang, China']",INTERVENTIONAL,NOT_YET_RECRUITING,False
